StockCode,Description,Total_Revenue,ABC_Category
85123A,"WHITE HANGING HEART T-LIGHT HOLDER",50276.97999999973,"A - High Value"
M,Manual,48814.30999999999,"A - High Value"
85099B,"JUMBO BAG RED WHITE SPOTTY ",22545.900000000016,"A - High Value"
84879,"ASSORTED COLOUR BIRD ORNAMENT",16767.600000000064,"A - High Value"
15056BL,"EDWARDIAN PARASOL BLACK",15966.200000000033,"A - High Value"
21843,"RETRO SPOT CAKE STAND",14667.350000000019,"A - High Value"
15056N,"EDWARDIAN PARASOL NATURAL",12425.650000000016,"A - High Value"
37503,"TEA TIME CAKE STAND IN GIFT BOX",12324.599999999991,"A - High Value"
20679,"EDWARDIAN PARASOL RED",12306.250000000016,"A - High Value"
48138,"DOOR MAT UNION FLAG",12037.359999999959,"A - High Value"
POST,POSTAGE,11636.6,"A - High Value"
79323W," WHITE CHERRY LIGHTS",11471.999999999998,"A - High Value"
79323P,"PINK CHERRY LIGHTS",11004.949999999999,"A - High Value"
85014B,"RED/WHITE DOTS RUFFLED UMBRELLA",10132.550000000017,"A - High Value"
20914,"SET/5 RED SPOTTY LID GLASS BOWLS",9963.500000000002,"A - High Value"
21232,"STRAWBERRY CERAMIC TRINKET BOX",9880.159999999996,"A - High Value"
21733,"RED HANGING HEART T-LIGHT HOLDER",9647.350000000006,"A - High Value"
22111,"SCOTTIE DOG HOT WATER BOTTLE",9004.050000000012,"A - High Value"
22083,"PAPER CHAIN KIT RETRO SPOT",8978.34999999999,"A - High Value"
21754,"HOME BUILDING BLOCK WORD",8764.30000000001,"A - High Value"
85014A,"BLACK/BLUE DOTS RUFFLED UMBRELLA",8675.100000000002,"A - High Value"
21485,"RED SPOT HEART HOT WATER BOTTLE",8563.300000000003,"A - High Value"
20685,"DOOR MAT RED SPOT",8336.659999999978,"A - High Value"
84029E,"RED WOOLLY HOTTIE WHITE HEART.",8336.200000000004,"A - High Value"
21212,"PACK OF 72 RETRO SPOT CAKE CASES",8152.879999999971,"A - High Value"
21731,"RED TOADSTOOL LED NIGHT LIGHT",8143.200000000009,"A - High Value"
85099C,"JUMBO  BAG BAROQUE BLACK WHITE",8122.199999999994,"A - High Value"
20725,"LUNCH BAG RED SPOTTY",7998.799999999998,"A - High Value"
22189,"CREAM HEART CARD HOLDER",7728.14,"A - High Value"
22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",7631.999999999989,"A - High Value"
22114,"HOT WATER BOTTLE TEA AND SYMPATHY",7586.850000000003,"A - High Value"
22138,"BAKING SET 9 PIECE RETROSPOT ",7438.350000000001,"A - High Value"
85099F,"JUMBO BAG STRAWBERRY",7427.5499999999965,"A - High Value"
21929,"JUMBO BAG PINK VINTAGE PAISLEY",7319.099999999998,"A - High Value"
21931,"JUMBO STORAGE BAG SUKI",7294.649999999993,"A - High Value"
48111,"DOOR MAT 3 SMILEY CATS",7265.139999999988,"A - High Value"
22423,"REGENCY CAKESTAND 3 TIER",7248.15,"A - High Value"
82486,"WOOD S/3 CABINET ANT WHITE FINISH",7104.249999999985,"A - High Value"
21755,"LOVE BUILDING BLOCK WORD",6887.699999999999,"A - High Value"
85220,"SMALL FAIRY CAKE FRIDGE MAGNETS",6875,"A - High Value"
21217,"RED SPOTTY ROUND CAKE TINS",6742.39999999999,"A - High Value"
85014D,"PINK/BROWN DOTS RUFFLED UMBRELLA",6613.549999999999,"A - High Value"
79323LP,"LIGHT PINK CHERRY LIGHTS",6598.000000000004,"A - High Value"
22112,"CHOCOLATE HOT WATER BOTTLE",6596.549999999997,"A - High Value"
47566,"PARTY BUNTING",6588.749999999998,"A - High Value"
21928,"JUMBO BAG SCANDINAVIAN PAISLEY",6588.299999999996,"A - High Value"
48187,"DOOR MAT NEW ENGLAND",6552.829999999981,"A - High Value"
20685,"RED SPOTTY COIR DOORMAT",6545.5,"A - High Value"
48185,"DOOR MAT FAIRY CAKE",6386.559999999986,"A - High Value"
82494L,"WOODEN FRAME ANTIQUE WHITE ",6359.849999999984,"A - High Value"
84997C,"BLUE 3 PIECE MINI DOTS CUTLERY SET",6280.139999999999,"A - High Value"
21527,"RETRO SPOT TRADITIONAL TEAPOT ",6215.549999999989,"A - High Value"
21175,"GIN + TONIC DIET METAL SIGN",6175.139999999991,"A - High Value"
84997B,"RED 3 PIECE MINI DOTS CUTLERY SET",6174.8099999999995,"A - High Value"
22386,"JUMBO BAG PINK WITH WHITE SPOTS",6009.149999999997,"A - High Value"
48173C,"DOOR MAT BLACK FLOCK ",5929.999999999988,"A - High Value"
21524,"DOOR MAT SPOTTY HOME SWEET HOME",5891.86999999999,"A - High Value"
21622,"VINTAGE UNION JACK CUSHION COVER",5815.7000000000035,"A - High Value"
48188,"DOOR MAT WELCOME PUPPIES",5813.4799999999905,"A - High Value"
85042,"ANTIQUE LILY FAIRY LIGHTS",5794.500000000003,"A - High Value"
21166,"COOK WITH WINE METAL SIGN ",5793.869999999994,"A - High Value"
84997D,"PINK 3 PIECE MINI DOTS CUTLERY SET",5721.719999999999,"A - High Value"
22139,"RETRO SPOT TEA SET CERAMIC 11 PC ",5682.549999999998,"A - High Value"
21137,"BLACK RECORD COVER FRAME",5528.879999999997,"A - High Value"
21621,"VINTAGE UNION JACK BUNTING",5508,"A - High Value"
21314,"SMALL GLASS HEART TRINKET POT",5475.900000000006,"A - High Value"
22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",5309.999999999996,"A - High Value"
84991,"60 TEATIME FAIRY CAKE CASES",5303.879999999988,"A - High Value"
84050,"PINK HEART SHAPE EGG FRYING PAN",5300.999999999993,"A - High Value"
21181,"PLEASE ONE PERSON METAL SIGN",5300.819999999999,"A - High Value"
85232B,"SET/3 RUSSIAN DOLL STACKING TINS",5286.049999999999,"A - High Value"
22090,"PAPER BUNTING RETRO SPOTS",5269.749999999994,"A - High Value"
84836,"ZINC METAL HEART DECORATION",5257.72,"A - High Value"
21164,"HOME SWEET HOME METAL SIGN ",5219.549999999993,"A - High Value"
21908,"CHOCOLATE THIS WAY METAL SIGN",5190.539999999995,"A - High Value"
22061,"LARGE CAKE STAND  HANGING STRAWBERY",5161.65,"A - High Value"
22411,"JUMBO SHOPPER VINTAGE RED PAISLEY",5113.949999999998,"A - High Value"
72756,"FAIRY CAKE CANDLES",5083.099999999997,"A - High Value"
85066,"CREAM SWEETHEART MINI CHEST",5012.5599999999995,"A - High Value"
72741,"GRAND CHOCOLATECANDLE",4998.600000000005,"A - High Value"
47590B,"PINK HAPPY BIRTHDAY BUNTING",4940.899999999999,"A - High Value"
37449,"CERAMIC CAKE STAND + HANGING CAKES",4885.849999999998,"A - High Value"
48194,"DOOR MAT HEARTS",4872.359999999994,"A - High Value"
84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",4868.280000000001,"A - High Value"
20971,"PINK BLUE FELT CRAFT TRINKET BOX",4868.02,"A - High Value"
21980,"PACK OF 12 RED SPOTTY TISSUES ",4677.310000000002,"A - High Value"
20728,"LUNCH BAG CARS BLUE",4675.049999999999,"A - High Value"
47502,"POLKADOT CUTLERY 24 PCS IN TRAY",4537.55,"A - High Value"
22084,"PAPER CHAIN KIT EMPIRE",4527.649999999995,"A - High Value"
84946,"ANTIQUE SILVER TEA GLASS ETCHED",4499.529999999999,"A - High Value"
48184,"DOOR MAT ENGLISH ROSE ",4499.269999999992,"A - High Value"
20726,"LUNCH BAG WOODLAND",4487.649999999998,"A - High Value"
84078A,"SET/4 WHITE RETRO STORAGE CUBES ",4483.8499999999985,"A - High Value"
20727,"LUNCH BAG  BLACK SKULL.",4462.199999999998,"A - High Value"
20713,"JUMBO BAG OWLS",4453.499999999999,"A - High Value"
21984,"PACK OF 12 PINK PAISLEY TISSUES ",4443.21,"A - High Value"
22379,"RECYCLING BAG RETROSPOT ",4288.700000000001,"A - High Value"
22236,"CAKE STAND 3 TIER MAGIC GARDEN",4270.950000000001,"A - High Value"
47590A,"BLUE HAPPY BIRTHDAY BUNTING",4194.8499999999985,"A - High Value"
85152,"HAND OVER THE CHOCOLATE   SIGN ",4170.899999999993,"A - High Value"
20712,"JUMBO BAG WOODLAND ANIMALS",4163.399999999998,"A - High Value"
21981,"PACK OF 12 WOODLAND TISSUES ",4161.389999999999,"A - High Value"
84406B,"CREAM CUPID HEARTS COAT HANGER",4126.75,"A - High Value"
84467,"ENGLISH ROSE DESIGN QUILTED THROW",4031.55,"A - High Value"
84347,"ROTATING SILVER ANGELS T-LIGHT HLDR",3977.25,"A - High Value"
21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",3953.7000000000007,"A - High Value"
22294,"HEART FILIGREE DOVE  SMALL",3948.34,"A - High Value"
48116,"DOOR MAT MULTICOLOUR STRIPE",3918.549999999997,"A - High Value"
84992,"72 SWEETHEART FAIRY CAKE CASES",3892.299999999993,"A - High Value"
21977,"PACK OF 60 PINK PAISLEY CAKE CASES",3882.1999999999966,"A - High Value"
21218,"RED SPOTTY BISCUIT TIN",3832.5,"A - High Value"
21523,"FANCY FONT HOME SWEET HOME DOORMAT",3822.500000000001,"A - High Value"
21524,"SPOTTY  HOME SWEET HOME DOORMAT",3785.5,"A - High Value"
71477,"COLOUR GLASS. STAR T-LIGHT HOLDER",3774,"A - High Value"
22147,"FELTCRAFT BUTTERFLY HEARTS",3758.000000000006,"A - High Value"
79341,"WILLOW BRANCH LIGHTS.",3751.6500000000005,"A - High Value"
21080,"SET/20 RED SPOTTY PAPER NAPKINS ",3748.549999999997,"A - High Value"
21955,"UNION JACK GUNS & ROSES  DOORMAT",3744.2000000000003,"A - High Value"
22297,"HEART IVORY TRELLIS SMALL",3741.0000000000005,"A - High Value"
47591D,"PINK FAIRY CAKE CHILD'S APRON",3735.9599999999937,"A - High Value"
47566B,"TEA TIME PARTY BUNTING",3719.8500000000004,"A - High Value"
21535,"RETRO SPOT SMALL MILK JUG",3691.2000000000075,"A - High Value"
22149,"FELTCRAFT 6 FLOWER FRIENDS",3690.1999999999916,"A - High Value"
48194,"DOORMAT HEARTS",3635,"A - High Value"
22328,"ROUND SNACK BOXES SET OF 4 FRUITS ",3617.799999999994,"A - High Value"
82483,"WOOD 2 DRAWER CABINET WHITE FINISH",3610.8000000000025,"A - High Value"
82482,"WOODEN PICTURE FRAME WHITE FINISH",3578.249999999998,"A - High Value"
